Read node data finish!
Read link data finish!
Read origin data finish!
************* 
init metro line cost 1,1, 6.000000  
init metro line cost 1,2, 6.000000  
init metro line cost 2,1, 6.000000  
init metro line cost 2,2, 6.000000  
init metro line cost 3,1, 6.000000  
init metro line cost 3,2, 6.000000  
obj:4228.2160927736431404, mainLoop:221, RelativeGap:1.041970457e-05, CPUTime:0.006999969482
obj:4226.187482623523465, mainLoop:222, RelativeGap:1.037337202e-05, CPUTime:0.006999969482
obj:4224.1723605904262513, mainLoop:223, RelativeGap:1.032752784e-05, CPUTime:0.006999969482
obj:4222.1706203850653765, mainLoop:224, RelativeGap:1.028216547e-05, CPUTime:0.006999969482
obj:4220.1821567277174836, mainLoop:225, RelativeGap:1.023727846e-05, CPUTime:0.008000135422
obj:4218.2068653368605737, mainLoop:226, RelativeGap:1.019286048e-05, CPUTime:0.008000135422
obj:4216.2446429179735787, mainLoop:227, RelativeGap:1.014890529e-05, CPUTime:0.008000135422
obj:4214.2953871524550777, mainLoop:228, RelativeGap:1.010540674e-05, CPUTime:0.008000135422
obj:4212.3589966867157273, mainLoop:229, RelativeGap:1.00623588e-05, CPUTime:0.008000135422
obj:4210.4353711213871065, mainLoop:230, RelativeGap:1.001975552e-05, CPUTime:0.008000135422
obj:4208.5244110006742631, mainLoop:231, RelativeGap:9.97759106e-06, CPUTime:0.008000135422
obj:4206.6260178018546867, mainLoop:232, RelativeGap:9.935859667e-06, CPUTime:0.008000135422
obj:4204.7400939249055227, mainLoop:233, RelativeGap:9.894555678e-06, CPUTime:0.008000135422
obj:4202.8665426822553854, mainLoop:234, RelativeGap:9.853673522e-06, CPUTime:0.008000135422
obj:4201.0052682886807816, mainLoop:235, RelativeGap:9.813207715e-06, CPUTime:0.008000135422
obj:4199.1561758513216773, mainLoop:236, RelativeGap:9.773152862e-06, CPUTime:0.008000135422
obj:4197.3191713598307615, mainLoop:237, RelativeGap:9.733503651e-06, CPUTime:0.008000135422
obj:4195.4941616766409425, mainLoop:238, RelativeGap:9.694254855e-06, CPUTime:0.008000135422
obj:4193.6810545273610842, mainLoop:239, RelativeGap:9.655401329e-06, CPUTime:0.008000135422
obj:4191.8797584912917955, mainLoop:240, RelativeGap:9.616938007e-06, CPUTime:0.008000135422
obj:4190.0901829920649106, mainLoop:241, RelativeGap:9.578859904e-06, CPUTime:0.008000135422
obj:4188.3122382883911996, mainLoop:242, RelativeGap:9.541162112e-06, CPUTime:0.008000135422
obj:4186.5458354649372268, mainLoop:243, RelativeGap:9.503839799e-06, CPUTime:0.008000135422
obj:4184.7908864233058921, mainLoop:244, RelativeGap:9.466888207e-06, CPUTime:0.008000135422
obj:4183.0473038731397537, mainLoop:245, RelativeGap:9.430302654e-06, CPUTime:0.008000135422
obj:4181.3150013233289428, mainLoop:246, RelativeGap:9.394078527e-06, CPUTime:0.008000135422
obj:4179.5938930733345842, mainLoop:247, RelativeGap:9.358211285e-06, CPUTime:0.008000135422
obj:4177.8838942046140801, mainLoop:248, RelativeGap:9.322696459e-06, CPUTime:0.008000135422
obj:4176.1849205721609906, mainLoop:249, RelativeGap:9.287529644e-06, CPUTime:0.008000135422
obj:4174.4968887961440487, mainLoop:250, RelativeGap:9.252706507e-06, CPUTime:0.008000135422
obj:4172.8197162536562246, mainLoop:251, RelativeGap:9.218222776e-06, CPUTime:0.008000135422
obj:4171.1533210705592865, mainLoop:252, RelativeGap:9.184074248e-06, CPUTime:0.008000135422
obj:4169.4976221134384105, mainLoop:253, RelativeGap:9.15025678e-06, CPUTime:0.008000135422
obj:4167.8525389816486495, mainLoop:254, RelativeGap:9.116766293e-06, CPUTime:0.008000135422
